state,Lake, lake.region,Latitude,Longitude,Elevation.(m),yr.sampled,season,month,TOD,TOD.Detail,number.sites,sample.times,min.depth,max.depth,ave.den.per.m2,std.dev,method,method.detail,net.diameter,net.length,mesh.size.(μm),biomass,size.frequency,reference,type.of.pub,data.origin,notes:
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,fall,29 oct - 9 nov,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,50,100,68.4,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 7 ,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,fall,29 oct - 9 nov,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,100,150,288.6,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 7,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,fall,29 oct - 9 nov,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,150,200,632.1,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 7,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,fall,29 oct - 9 nov,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,200,-,670.8,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 7,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,spring,22-31may,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,50,100,71.2,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 6,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,spring,22-31may,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,100,150,198.5,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 6,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,spring,22-31may,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,150,200,103.6,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 6,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,spring,22-31may,all,between 1 hr after sunset and 1 hr before dawn.,10,spring/fall,200,-,194.8,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,no,yes,Johannsson et al. 1995,Article,Figure 6,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1990,fall,Oct/Nov,night,no details,38,all year except iced,50,250,318.4,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
,Ontario,Whole lake(Cross lake transects),nr,nr,0,1991,fall,Nov,night,no details,23,all year except iced,50,250,274.5,nr,Vertical tow,1m sq net. 1-mm nitrix mesh with 250-p.m cod end.,,,1000,yes,yes,Johannsson et al. 2011,Article,Figure 3a,graph click data
